model,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
KNN,0.9214468396054074,0.9358729003038793,0.9328229169575507,0.9341938976312717,0.9220863441925836,0.9214468396054074,0.9216377290875635
ID3,0.9031786627694556,0.9168847364015196,0.9150311677235085,0.9158881795986927,0.9034040652092462,0.9031786627694556,0.9032222409407915
Random Forest,0.9229082937522836,0.9348883092647451,0.932393966713793,0.9335718072678495,0.9231421072203768,0.9229082937522836,0.9229355065412881
BP Neural Network,0.9218122031421264,0.9309959270237115,0.9344385170331521,0.9320912100155461,0.923274602054041,0.9218122031421264,0.921910238590581
