epoch,train_update_loss,train_loss,val_loss,train_accuracy,val_accuracy,learning_rate
1,0.426737491502591,0.34741690361765765,0.2887642561647257,0.8990816003378022,0.9049740163325909,0.015
2,0.4363048274691083,0.27037507755588974,0.24318422683498045,0.9134381927583659,0.9131403118040089,0.015
3,0.271105755389492,0.25774019572275325,0.21949012038944463,0.9205109257890848,0.9235337787676318,0.015
4,0.27022165858468966,0.23875925017522398,0.23950125464382974,0.9202997994299589,0.9153674832962138,0.015
5,0.24118746973916239,0.2912139768070975,0.2966949553290021,0.9022484957246912,0.8975501113585747,0.015
6,0.30179472054055617,0.2669077806124042,0.2334520303615226,0.9186107885569513,0.9123979213066072,0.015
7,0.2653406529109158,0.25244780266848993,0.22957365633329765,0.9206164889686478,0.9198218262806236,0.015
8,0.2559037181630228,0.2395996585111994,0.2160818654947108,0.9221999366620922,0.9198218262806236,0.015
9,0.28139122426060303,0.25227021835381586,0.22710272064638265,0.922938878919033,0.9190794357832219,0.015
10,0.2556411629727995,0.2527160137091334,0.22717645286077162,0.9170273408635068,0.9131403118040089,0.015
11,0.23846037266737208,0.23719364855240466,0.219995498138824,0.9245223266124776,0.9235337787676318,0.01275
12,0.2443132287804799,0.2505601614069653,0.22804577921559377,0.9172384672226327,0.9161098737936154,0.01275
13,0.2369393106559097,0.22799050642601407,0.21119271540642046,0.9253668320489813,0.9242761692650334,0.01275
14,0.22796263211577358,0.25235573153112806,0.22100082370522356,0.9271614061015517,0.9242761692650334,0.01275
15,0.2431066898787746,0.20987466714218755,0.20597264703198187,0.9235722579964109,0.9205642167780252,0.01275
16,0.22782178063884545,0.24009209078881624,0.2141605270885938,0.9225166262007811,0.9272457312546399,0.01275
17,0.23253647320171472,0.2136941008889148,0.20800498231221154,0.9249445793307295,0.9309576837416481,0.01275
18,0.2116299992963914,0.22333580760862942,0.22427817790707408,0.9156550195291883,0.9138827023014106,0.01275
19,0.22482813695641413,0.21144698428392125,0.20923995596873193,0.9241000738942257,0.9339272457312546,0.01275
20,0.22434173622472578,0.2271943699205644,0.20914602107354985,0.9243112002533517,0.9235337787676318,0.01275
21,0.244712604374697,0.21682759634253837,0.21751794597972843,0.9246278897920406,0.9198218262806236,0.010837499999999998
22,0.23639991104136684,0.22956859908440275,0.21474796026697485,0.9219888103029663,0.9265033407572383,0.010837499999999998
23,0.28328225728445494,0.24994089088480498,0.22844499356037112,0.9157605827087512,0.9138827023014106,0.010837499999999998
24,0.2780530225074993,0.21866464509698777,0.21756370967710534,0.9206164889686478,0.9168522642910171,0.010837499999999998
25,0.2526403620726543,0.23735273282320127,0.21384332691794325,0.919877546711707,0.9250185597624351,0.010837499999999998
26,0.2838355144066299,0.22461804226662738,0.222507819940346,0.9185052253773883,0.9220489977728286,0.010837499999999998
27,0.2470600360275934,0.20789381769548088,0.21145026680173784,0.9246278897920406,0.9272457312546399,0.010837499999999998
28,0.2487286069747928,0.21334977948999814,0.2183764814040957,0.9257890847672332,0.9250185597624351,0.010837499999999998
29,0.23205149153112034,0.21959028292486565,0.2350411848673669,0.9269502797424258,0.9161098737936154,0.010837499999999998
30,0.22654260722987316,0.21650513604514304,0.21872754991767968,0.9244167634329146,0.9265033407572383,0.010837499999999998
31,0.21978494351677366,0.2137262413936045,0.21841543456350743,0.9186107885569513,0.9161098737936154,0.009211874999999998
32,0.22777733642639938,0.22891404193661413,0.2388827479883903,0.9161828354270031,0.9072011878247959,0.009211874999999998
33,0.22968191241826097,0.2037780958830139,0.20630474560055048,0.926211337485485,0.9302152932442465,0.009211874999999998
34,0.2323346934893656,0.20606445967042303,0.20515543978947792,0.922938878919033,0.9265033407572383,0.009211874999999998
