model,test_accuracy,repeats,test_samples,mean_total_seconds,median_total_seconds,min_total_seconds,max_total_seconds,p95_total_seconds,mean_ms_per_sample,samples_per_second
KNN,0.9214468396054074,3,2737,62.563502833334496,62.200363699987065,61.99092430001474,63.499220500001684,62.200363699987065,22.858422664718486,43.747550505463344
ID3,0.907197661673365,3,2737,0.0048157666848662,0.004523700044956058,0.004502700001467019,0.005420900008175522,0.004523700044956058,0.0017595055479964195,568341.4872653956
Random Forest,0.9229082937522836,3,2737,0.22237640000336492,0.21964139997726306,0.21707090002018958,0.23041690001264215,0.21964139997726306,0.08124822798807632,12307.96073665454
BP Neural Network,0.9199853854585313,3,2737,0.22115536664690202,0.21928769996156916,0.2170473999576643,0.22713100002147257,0.21928769996156916,0.08080210692250714,12375.914912206994
