model,val_accuracy,val_macro_f1,test_accuracy,test_macro_f1
ID3,0.9020044543429844,0.9166001766051661,0.9031786627694556,0.9158881795986927
RandomForest,0.9161098737936154,0.9311750073205438,0.9229082937522836,0.9335718072678495
