experiment,model,parameter_name,parameter_value,train_accuracy,val_accuracy,test_accuracy,train_val_gap,train_test_gap,leaf_count,leaf_count_mean,learning_rate,n_estimators,node_count,observed_depth,observed_depth_mean,train_loss,val_loss
bp_epoch_curve,BP Neural Network,epoch,11,0.9217776839438404,0.9294729027468448,0.9199853854585313,-0.007695218803004389,0.0017922984853091517,,,0.01275,,,,,0.23579006507843642,0.22530586030999408
bp_epoch_curve,BP Neural Network,epoch,12,0.9202997994299589,0.9161098737936154,0.9196200219218122,0.004189925636343461,0.0006797775081466284,,,0.01275,,,,,0.273688876529055,0.2293332927700873
bp_epoch_curve,BP Neural Network,epoch,13,0.9204053626095218,0.9220489977728286,0.9225429302155644,-0.0016436351633067892,-0.0021375676060426674,,,0.01275,,,,,0.2134661126584052,0.21367637265219339
bp_epoch_curve,BP Neural Network,epoch,14,0.9235722579964109,0.9220489977728286,0.9232736572890026,0.00152326022358229,0.0002986007074082808,,,0.01275,,,,,0.26231892291238845,0.21211349565550058
bp_epoch_curve,BP Neural Network,epoch,15,0.9209331785073367,0.9146250927988122,0.9192546583850931,0.00630808570852448,0.0016785201222435653,,,0.01275,,,,,0.24234478020158498,0.21904968114392573
bp_epoch_curve,BP Neural Network,epoch,16,0.9244167634329146,0.9294729027468448,0.9258312020460358,-0.00505613931393023,-0.0014144386131211828,,,0.01275,,,,,0.21077817912069605,0.20879336496180032
bp_epoch_curve,BP Neural Network,epoch,17,0.9215665575847144,0.9190794357832219,0.928388746803069,0.0024871218014924645,-0.006822189218354646,,,0.01275,,,,,0.21370629005062078,0.212061162186066
bp_epoch_curve,BP Neural Network,epoch,18,0.9209331785073367,0.9190794357832219,0.9218122031421264,0.0018537427241147597,-0.0008790246347897268,,,0.01275,,,,,0.21198271046386852,0.2186074217191975
bp_epoch_curve,BP Neural Network,epoch,19,0.9225166262007811,0.9250185597624351,0.9232736572890026,-0.0025019335616539573,-0.0007570310882214493,,,0.01275,,,,,0.21164313741550814,0.2051276791376894
bp_epoch_curve,BP Neural Network,epoch,20,0.9218832471234033,0.9175946547884187,0.9214468396054074,0.004288592334984576,0.00043640751799589594,,,0.010837499999999998,,,,,0.22588032284649512,0.21101888240321826
